CustomerID,Age,Gender,Country,Avgorder_value,Total_orders,Last_purchase,Is_fraudlent,Preferred_category,Email_open_rate,Customer_since,Loyalty_score,churn_risk,Revenue,Loyalty_type,Loyalty_bucket,Loyalty_or_fraud,Is_weekend,Year,Risk_level,Loyalty_level,Country_Loyalty,Customer_tag,Revenue_loyal
CUST_9340,43,Female,Germany,10.66,13,346 days,0,Electronics,97.9,2025-03-23,19,0.14,138.58,Fraud,Low,Low|Loyal,False,2025,Low Risk,Low Rate,Germany_Low Rate,Germany|Electronics| Fraud:0,Low Loyal
CUST_8604,44,Male,China,10.7,6,170 days,0,Sports,84.5,2025-03-03,97,0.19,64.19999999999999,High Loyal,High,High|Loyal,False,2025,Low Risk,High Rate,China_High Rate,China|Sports| Fraud:0,Low Loyal
CUST_2440,77,Male,Canada,11.48,9,245 days,0,Fashion,71.4,2021-02-22,58,0.15,103.32000000000001,Moderate Loyal,Medium,Medium|Loyal,False,2021,Low Risk,Moderate,Canada_Moderate,Canada|Fashion| Fraud:0,Low Loyal
CUST_7530,78,Female,China,11.61,11,121 days,0,Sports,20.8,2023-05-14,84,0.13,127.71,High Loyal,High,High|Loyal,False,2023,Low Risk,High Rate,China_High Rate,China|Sports| Fraud:0,Low Loyal
CUST_2826,54,Male,China,12.5,10,182 days,0,Beauty,98.5,2020-11-08,24,0.31,125.0,Low Loyal,Low,Low|Loyal,False,2020,Medium Risk,Low Rate,China_Low Rate,China|Beauty| Fraud:0,Low Loyal
CUST_5481,79,Male,China,12.87,8,213 days,0,Fashion,95.9,2020-12-25,67,0.53,102.96,Moderate Loyal,Medium,Medium|Loyal,False,2020,Medium Risk,Moderate,China_Moderate,China|Fashion| Fraud:0,Low Loyal
CUST_5563,71,Female,India,14.04,11,47 days,0,Beauty,4.1,2025-05-26,91,0.37,154.44,High Loyal,High,High|Loyal,False,2025,Medium Risk,High Rate,India_High Rate,India|Beauty| Fraud:0,Low Loyal
CUST_1699,51,Male,Canada,14.16,7,102 days,0,Fashion,32.8,2022-01-13,26,0.18,99.12,Low Loyal,Low,Low|Loyal,False,2022,Low Risk,Low Rate,Canada_Low Rate,Canada|Fashion| Fraud:0,Low Loyal
CUST_8400,57,Female,Japan,14.19,9,9 days,1,Electronics,73.0,2021-02-15,24,0.22,127.71,Low Loyal,Low,Low|Fraud,False,2021,Low Risk,Low Rate,Japan_Low Rate,Japan|Electronics| Fraud:1,Low Loyal
CUST_4192,27,Male,India,14.31,8,100 days,0,Sports,20.4,2023-04-02,52,0.35,114.48,Moderate Loyal,Medium,Medium|Loyal,False,2023,Medium Risk,Moderate,India_Moderate,India|Sports| Fraud:0,Low Loyal
CUST_7766,77,Male,UK,14.76,5,101 days,0,Home,19.7,2025-06-15,90,0.14,73.8,High Loyal,High,High|Loyal,False,2025,Low Risk,High Rate,UK_High Rate,UK|Home| Fraud:0,Low Loyal
CUST_4607,57,Other,UK,14.79,5,82 days,0,Sports,14.3,2023-07-31,53,0.14,73.94999999999999,Moderate Loyal,Medium,Medium|Loyal,False,2023,Low Risk,Moderate,UK_Moderate,UK|Sports| Fraud:0,Low Loyal
CUST_7980,62,Male,Brazil,14.96,18,242 days,0,Home,99.9,2020-12-22,19,0.45,269.28000000000003,Fraud,Low,Low|Loyal,False,2020,Medium Risk,Low Rate,Brazil_Low Rate,Brazil|Home| Fraud:0,Low Loyal
CUST_3062,52,Other,India,15.09,15,297 days,0,Electronics,90.2,2023-07-20,60,0.42,226.35,Moderate Loyal,Medium,Medium|Loyal,False,2023,Medium Risk,Moderate,India_Moderate,India|Electronics| Fraud:0,Low Loyal
CUST_5041,72,Other,France,15.17,8,229 days,0,Home,13.6,2024-06-16,21,0.3,121.36,Low Loyal,Low,Low|Loyal,False,2024,Low Risk,Low Rate,France_Low Rate,France|Home| Fraud:0,Low Loyal
CUST_2120,29,Female,India,15.31,7,104 days,0,Beauty,99.1,2023-02-14,49,0.06,107.17,Low Loyal,Medium,Medium|Loyal,False,2023,Low Risk,Moderate,India_Moderate,India|Beauty| Fraud:0,Low Loyal
CUST_1917,33,Male,India,15.34,6,301 days,0,Sports,39.0,2022-03-22,2,0.44,92.03999999999999,Fraud,Low,Low|Loyal,False,2022,Medium Risk,Low Rate,India_Low Rate,India|Sports| Fraud:0,Low Loyal
CUST_2666,72,Female,France,15.44,13,293 days,0,Home,6.9,2021-01-18,17,0.29,200.72,Fraud,Low,Low|Loyal,False,2021,Low Risk,Low Rate,France_Low Rate,France|Home| Fraud:0,Low Loyal
CUST_9804,26,Male,China,15.58,13,216 days,0,Sports,64.8,2025-05-13,37,0.32,202.54,Low Loyal,Low,Low|Loyal,False,2025,Medium Risk,Low Rate,China_Low Rate,China|Sports| Fraud:0,Low Loyal
CUST_6535,54,Female,Canada,15.61,11,4 days,0,Sports,54.1,2024-12-11,20,0.2,171.70999999999998,Low Loyal,Low,Low|Loyal,False,2024,Low Risk,Low Rate,Canada_Low Rate,Canada|Sports| Fraud:0,Low Loyal
CUST_5648,74,Male,France,15.72,12,274 days,0,Sports,72.0,2021-12-17,60,0.46,188.64000000000001,Moderate Loyal,Medium,Medium|Loyal,False,2021,Medium Risk,Moderate,France_Moderate,France|Sports| Fraud:0,Low Loyal
CUST_7970,53,Female,Australia,15.72,12,62 days,0,Beauty,10.7,2024-09-21,97,0.42,188.64000000000001,High Loyal,High,High|Loyal,False,2024,Medium Risk,High Rate,Australia_High Rate,Australia|Beauty| Fraud:0,Low Loyal
CUST_5839,18,Male,Australia,15.74,7,315 days,0,Sports,93.5,2021-04-13,8,0.54,110.18,Fraud,Low,Low|Loyal,False,2021,Medium Risk,Low Rate,Australia_Low Rate,Australia|Sports| Fraud:0,Low Loyal
CUST_9623,69,Female,France,15.83,14,219 days,0,Beauty,95.3,2025-06-01,58,0.06,221.62,Moderate Loyal,Medium,Medium|Loyal,False,2025,Low Risk,Moderate,France_Moderate,France|Beauty| Fraud:0,Low Loyal
CUST_3735,27,Male,Germany,16.01,5,20 days,0,Fashion,8.2,2024-04-06,46,0.24,80.05000000000001,Low Loyal,Medium,Medium|Loyal,False,2024,Low Risk,Moderate,Germany_Moderate,Germany|Fashion| Fraud:0,Low Loyal
CUST_1062,72,Other,UK,16.12,8,364 days,0,Fashion,57.7,2020-08-26,48,0.13,128.96,Low Loyal,Medium,Medium|Loyal,False,2020,Low Risk,Moderate,UK_Moderate,UK|Fashion| Fraud:0,Low Loyal
CUST_5591,74,Other,Canada,16.17,9,229 days,1,Sports,92.9,2023-02-14,94,0.43,145.53000000000003,High Loyal,High,High|Fraud,False,2023,Medium Risk,High Rate,Canada_High Rate,Canada|Sports| Fraud:1,Low Loyal
CUST_9338,41,Female,China,16.18,7,164 days,0,Sports,18.9,2023-08-02,52,0.48,113.25999999999999,Moderate Loyal,Medium,Medium|Loyal,False,2023,Medium Risk,Moderate,China_Moderate,China|Sports| Fraud:0,Low Loyal
CUST_2258,75,Female,USA,16.23,5,90 days,0,Beauty,23.9,2021-08-29,41,0.22,81.15,Low Loyal,Medium,Medium|Loyal,False,2021,Low Risk,Moderate,USA_Moderate,USA|Beauty| Fraud:0,Low Loyal
CUST_6126,69,Female,China,16.34,6,42 days,0,Home,1.8,2021-12-27,84,0.48,98.03999999999999,High Loyal,High,High|Loyal,False,2021,Medium Risk,High Rate,China_High Rate,China|Home| Fraud:0,Low Loyal
CUST_1627,60,Male,UK,16.54,5,92 days,0,Beauty,54.8,2021-01-03,45,0.16,82.69999999999999,Low Loyal,Medium,Medium|Loyal,False,2021,Low Risk,Moderate,UK_Moderate,UK|Beauty| Fraud:0,Low Loyal
CUST_8461,76,Male,USA,16.77,9,26 days,0,Electronics,95.0,2021-06-10,7,0.27,150.93,Fraud,Low,Low|Loyal,False,2021,Low Risk,Low Rate,USA_Low Rate,USA|Electronics| Fraud:0,Low Loyal
CUST_4537,46,Male,Germany,16.98,15,126 days,0,Home,98.6,2025-02-24,58,0.24,254.70000000000002,Moderate Loyal,Medium,Medium|Loyal,False,2025,Low Risk,Moderate,Germany_Moderate,Germany|Home| Fraud:0,Low Loyal
CUST_3849,44,Female,India,17.05,9,144 days,0,Electronics,50.95,2020-09-18,32,0.44,153.45000000000002,Low Loyal,Low,Low|Loyal,False,2020,Medium Risk,Low Rate,India_Low Rate,India|Electronics| Fraud:0,Low Loyal
CUST_7610,37,Male,Germany,17.07,11,109 days,0,Sports,38.7,2024-03-27,45,0.54,187.77,Low Loyal,Medium,Medium|Loyal,False,2024,Medium Risk,Moderate,Germany_Moderate,Germany|Sports| Fraud:0,Low Loyal
CUST_5145,43,Female,Australia,17.1,13,170 days,0,Fashion,79.4,2021-03-24,43,0.35,222.3,Low Loyal,Medium,Medium|Loyal,False,2021,Medium Risk,Moderate,Australia_Moderate,Australia|Fashion| Fraud:0,Low Loyal
CUST_2884,70,Female,Australia,17.12,15,320 days,0,Sports,91.9,2022-11-24,29,0.15,256.8,Low Loyal,Low,Low|Loyal,False,2022,Low Risk,Low Rate,Australia_Low Rate,Australia|Sports| Fraud:0,Low Loyal
